World Cup 2015;MO;04/29/15;11:30;Field 2;Pool A;Gold;4;xx;France;8;Malaysia;5
World Cup 2015;MO;04/29/15;11:30;Field 4;Pool B;Gold;4;xx;New Zealand;19;United States;2
World Cup 2015;MO;04/29/15;11:30;Field 5;Pool D;Gold;4;xx;Japan;11;Singapore;2
World Cup 2015;MO;04/29/15;11:30;Field 7;Pool C;Gold;4;xx;Scotland;4;Samoa;5
World Cup 2015;MO;04/29/15;11:30;Field 8;Pool A;Gold;4;xx;Australia;22;Wales;0
World Cup 2015;MO;04/29/15;11:30;Field 9;Pool B;Gold;4;xx;England;4;Papua New Guinea;5
World Cup 2015;MO;04/29/15;11:30;Field 10;Pool C;Gold;4;xx;South Africa;11;Ireland;2
World Cup 2015;MO;04/29/15;11:30;Field 12;Pool D;Gold;4;xx;Cook Islands;7;Fiji;6
World Cup 2015;MO;04/29/15;14:50;Field 2;Pool D;Gold;4;xx;Japan;5;Cook Islands;4
World Cup 2015;MO;04/29/15;14:50;Field 3;Pool A;Gold;4;xx;Wales;7;Malaysia;3
World Cup 2015;MO;04/29/15;14:50;Field 5;Pool B;Gold;4;xx;United States;8;Papua New Guinea;11
World Cup 2015;MO;04/29/15;14:50;Field 6;Pool C;Gold;4;xx;South Africa;17;Scotland;4
World Cup 2015;MO;04/29/15;14:50;Field 8;Pool A;Gold;4;xx;Australia;18;France;0
World Cup 2015;MO;04/29/15;14:50;Field 9;Pool C;Gold;4;xx;Ireland;3;Samoa;10
World Cup 2015;MO;04/29/15;14:50;Field 10;Pool B;Gold;4;xx;New Zealand;11;England;2
World Cup 2015;MO;04/29/15;14:50;Field 11;Pool D;Gold;4;xx;Singapore;6;Fiji;15
World Cup 2015;MO;04/29/15;18:10;Field 1;Pool A;Gold;4;xx;France;3;Wales;1
World Cup 2015;MO;04/29/15;18:10;Field 2;Pool C;Gold;4;xx;Scotland;7;Ireland;4
World Cup 2015;MO;04/29/15;18:10;Field 5;Pool C;Gold;4;xx;South Africa;6;Samoa;1
World Cup 2015;MO;04/29/15;18:10;Field 7;Pool D;Gold;4;xx;Japan;6;Fiji;8
